Brand,Model,Type,Vas [L],Qes,Nominal diameter [mm],Nominal diameter [″],URL,Path_TS,Path_FRD,Fs_Hz,Qms,Qts,Re_ohm,Z_ohm,Le_mH,Le_10k_mH,Sd_cm2,Mms_g,Cms_uN,Vas_L,Rms,SPL_dB,Power_W,Pmax_W,Diameter_inch,Diameter_mm,VC_d_mm,Xmax_mm,n0_percent,SPL_1W1m_dB,SPL_2V83_dB,P_nom_W,P_max_W,EBP_Hz,Bl_Tm
-,Monacor SPH-175HQ,Woofer,21.82,0.6,131.0,5.1574803149606305,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-175HQ parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-175hq0/SPH-175HQ - 0ų R.txt,47.0,3.15,0.5,6.55,,0.71,0.34,134.71385,13.5,850.0,21.82,1.4,87.7,70.0,120.0,5.1574803149606305,131.0,25.0,5.5,0.359,87.7,88.5,70.0,120.0,78.33333333333334,6.6
-,Monacor SPH-176,Woofer,24.09,0.54,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-176 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-176/SPH-176 - 0ų R.txt,46.1,2.6,0.45,6.4,,0.8,0.34,138.85865,13.5,880.0,24.09,1.5,88.3,70.0,120.0,5.236220472440945,133.0,25.0,5.5,0.416,88.3,89.3,70.0,120.0,85.37037037037037,6.81
-,Monacor SPH-5M,Woofer,12.21,0.48,108.0,4.251968503937008,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-5M parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-5m/SPH-5M - 0ų.txt,47.1,2.84,0.41,6.36,,0.44,0.23,91.56240000000001,11.1,1030.0,12.21,1.2,86.1,40.0,80.0,4.251968503937008,108.0,25.0,3.5,0.253,86.1,87.1,40.0,80.0,98.125,6.6
-,Monacor SPH-6M,Woofer,18.95,0.39,128.0,5.039370078740157,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPH-6M parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_sph-6m/SPH-6M - 0ų R.txt,38.6,2.18,0.33,6.72,,0.82,0.32,128.0,21.0,810.0000000000001,18.95,2.3,86.4,60.0,120.0,5.039370078740157,128.0,37.0,4.0,0.266,86.4,87.1,60.0,120.0,98.97435897435898,9.37
-,Monacor SPM-165-8,Woofer,19.07,0.72,132.0,5.196850393700788,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPM-165-8 parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_spm-165-8/SPM-165-8 - 0ų R.txt,52.6,2.91,0.58,7.26,,0.6500000000000001,0.28,136.77839999999998,12.71,719.9999999999999,19.07,2.2,87.8,60.0,150.0,5.196850393700788,132.0,25.500000000000004,3.0,0.367,87.8,88.2,60.0,150.0,73.05555555555556,6.51
-,Monacor SPX-31M,Woofer,1.05,0.7,59.7,2.350393700787402,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Monacor SPX-31M parametri.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/monacor_spx-31m/SPX-31M - 0ų R.txt,110.0,4.7,0.61,6.49,,0.2,0.16,27.978106500000013,2.2,950.0,1.05,0.3,84.9,20.0,40.0,2.350393700787402,59.7,20.0,1.1,0.191,84.9,85.8,20.0,40.0,157.14285714285714,3.75
-,10F-4424G00,Woofer,1.07,0.48,67.0,2.6377952755905514,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 10F-4424G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/scan_speak_10f-4424g00/10F4224G00 - 0ų R.txt,118.0,2.8,0.41,3.21,,0.030000000000000002,0.04,35.23865,3.0,610.0,1.07,0.8,87.5,15.0,30.0,2.6377952755905514,67.0,20.0,2.6000000000000005,0.347,87.5,91.5,15.0,30.0,245.83333333333334,3.86
-,10F-8424G00,Woofer,0.9600000000000001,0.57,67.0,2.6377952755905514,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 10F-8424G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/scan_speak_10f-8424g00/10F-8424G00 - 0ų R.txt,130.0,2.57,0.47,5.4,,0.030000000000000002,0.04,35.23865,2.74,550.0,0.9600000000000001,0.9,87.6,15.0,30.0,2.6377952755905514,67.0,20.0,2.6000000000000005,0.353,87.6,89.3,15.0,30.0,228.07017543859652,4.6
-,12HP1020,Woofer,34.89000000000001,0.26,127.0,5.0,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 12HP1020.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/WOOFER_files/faital_12hp1020/12HP1020 - 0ų R.txt,56.5,7.55,0.25,5.53,,1.5500000000000003,0.57,498.76000000000005,80.0,100.0,34.89000000000001,3.8,95.8,700.0,1400.0,5.0,127.0,100.0,9.000000000000002,2.316,95.8,97.4,700.0,1400.0,217.3076923076923,24.65
-,12W-4524G00,Woofer,4.53,0.41,86.0,3.3858267716535435,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 12W-4524G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_12w-4524g00/12W-4524G00 - 0ų R.txt,69.0,2.4,0.35,2.98,,0.35,0.19,58.058600000000006,5.6,950.0,4.53,1.0,87.5,40.0,70.0,3.3858267716535435,86.0,25.0,3.0,0.346,87.5,91.8,40.0,70.0,168.2926829268293,4.2
-,12W-8524G00,Woofer,4.4,0.5,86.0,3.3858267716535435,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 12W-8524G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/Scan 12W-8524G00/12W-8524G00 - 0ų R.txt,70.5,3.38,0.44,5.6,,0.46,0.29,58.058600000000006,5.53,920.0,4.4,0.7,86.8,40.0,70.0,3.3858267716535435,86.0,25.0,3.0,0.293,86.8,88.3,40.0,70.0,141.0,5.24
-,13KLV5A,Woofer,6.77,0.48,103.00000000000001,4.055118110236221,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 13KLV5A.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/davis_13klv5a/13KLV5A - 0ų R.txt,67.9,2.63,0.41,6.3,,0.57,0.25,83.28065000000002,7.97,690.0,6.77,1.3,88.3,50.0,80.0,4.055118110236221,103.00000000000001,26.000000000000004,3.0,0.42,88.3,89.4,50.0,80.0,141.45833333333334,6.68
-,13LB25AL,Woofer,8.96,0.25,97.0,3.818897637795276,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 13LB25AL.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/audax_13lb25al/13LB25AL - 0ų R.txt,78.8,5.2,0.24,5.65,,0.12000000000000001,0.22,73.86064999999999,3.51,1160.0,8.96,0.3,94.3,25.0,50.0,3.818897637795276,97.0,25.0,1.75,1.659,94.3,95.8,25.0,50.0,315.2,6.25
-,15W-4434G00,Woofer,4.9,0.4,102.00000000000001,4.015748031496063,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 15W-4434G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_15w-4434g00/15W-4434G00 - 0ų.txt,71.7,2.8,0.35,2.85,,0.27,0.19,81.67139999999999,9.5,520.0000000000001,4.9,1.5,88.4,60.0,120.0,4.015748031496063,102.00000000000001,32.0,4.3,0.42899999999999994,88.4,92.9,60.0,120.0,179.25,5.52
-,15W-4531G00,Woofer,11.72,0.47,113.0,4.448818897637795,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 15W-4531G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_15w-4531g00/15W-4531G00 - 0ų R.txt,49.0,5.8,0.43,3.5,,0.16,0.14,100.23665000000001,12.8,820.0,11.72,0.7,86.6,60.0,120.0,4.448818897637795,113.0,32.0,6.500000000000001,0.279,86.6,90.2,60.0,120.0,104.25531914893618,5.42
-,15W-8434G00,Woofer,5.29,0.46,102.00000000000001,4.015748031496063,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 15W-8434G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_15w-8434g00/15W-8434G00 - 0ų R.txt,71.7,3.46,0.41,5.63,,0.43,0.3,81.67139999999999,8.8,560.0000000000001,5.29,1.1,88.2,60.0,120.0,4.015748031496063,102.00000000000001,32.0,4.2,0.4030000000000001,88.2,89.7,60.0,120.0,155.8695652173913,6.97
-,15W-8530K00,Woofer,13.440000000000001,0.45,113.0,4.448818897637795,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 15W-8530K00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SCAN 15W-8530K00/15W-8530K00 - 0ų R.txt,43.0,4.5,0.41,5.8,,0.31,0.19,100.23665000000001,14.5,940.0,13.440000000000001,0.9,85.7,60.0,110.0,4.448818897637795,113.0,38.0,6.500000000000001,0.22599999999999998,85.7,87.1,60.0,110.0,95.55555555555556,7.11
-,165GMF-8,Woofer,24.04,0.38,136.0,5.354330708661418,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 165GMF-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/supravox_165gmf/165GMF - 0ų R.txt,73.0,6.7,0.36,5.53,,0.31,0.23,145.1936,5.9,810.0000000000001,24.04,0.4,95.8,35.0,70.0,5.354330708661418,136.0,,6.0,2.34,95.8,97.4,35.0,70.0,192.10526315789474,6.28
-,165LB-8,Woofer,32.1,0.37,138.0,5.433070866141733,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 165LB-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/supravox_165lb/165LB - 0ų R.txt,64.5,3.3,0.33,4.09,,0.2,0.12000000000000001,149.49540000000002,6.0,1010.0,32.1,0.7,95.6,35.0,70.0,5.433070866141733,138.0,,6.0,2.236,95.6,98.5,35.0,70.0,174.32432432432432,5.2
-,18W-4434G00,Woofer,19.18,0.4,132.0,5.196850393700788,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-4434G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SCAN SPEAK 18W-4434G00/18W-4434G00 - 0ų R.txt,49.8,5.0,0.37,3.02,,0.3,0.19,136.77839999999998,14.1,719.9999999999999,19.18,0.9,89.6,55.0,170.0,5.196850393700788,132.0,32.0,4.3,0.564,89.6,93.9,55.0,170.0,124.49999999999999,5.77
-,18W-4531G00,Woofer,39.92,0.46,142.00000000000003,5.590551181102363,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-4531G00.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_18w-4531g00/18W-4531G00 - 0ų R.txt,37.5,4.9,0.42,3.38,,0.18,0.15,158.28740000000002,16.0,1130.0,39.92,0.8,88.5,70.0,140.0,5.590551181102363,142.00000000000003,38.0,6.500000000000001,0.436,88.5,92.2,70.0,140.0,81.52173913043478,5.26
-,18W-4531G01,Woofer,28.2,0.43,142.00000000000003,5.590551181102363,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri 18W-4531G01.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/scan_speak_18w-4531g01/18W-4531G01 - 0ų R.txt,44.9,1.9,0.35,5.67,,0.23,0.08,158.28740000000002,15.8,800.0,28.2,2.3,89.6,70.0,140.0,5.590551181102363,142.00000000000003,42.0,6.500000000000001,0.566,89.6,91.1,70.0,140.0,104.4186046511628,7.68
