Brand,Model,Type,Vas [L],Qes,Nominal diameter [mm],Nominal diameter [″],URL,Path_TS,Path_FRD,Fs_Hz,Qms,Qts,Re_ohm,Z_ohm,Le_mH,Le_10k_mH,Sd_cm2,Mms_g,Cms_uN,Vas_L,Rms,SPL_dB,Power_W,Pmax_W,Diameter_inch,Diameter_mm,VC_d_mm,Xmax_mm,n0_percent,SPL_1W1m_dB,SPL_2V83_dB,P_nom_W,P_max_W,EBP_Hz,Bl_Tm
-,HW100,Woofer,1.9200000000000002,0.67,80.0,3.1496062992125986,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri HW100.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/ciare_hw100/HW100 - 0ų R.txt,86.5,2.7,0.54,6.12,,0.46,0.26,50.24000000000001,6.3,540.0,1.9200000000000002,1.5,84.6,50.0,150.0,3.1496062992125986,80.0,25.0,4.3,0.177,84.6,85.7,50.0,150.0,129.1044776119403,5.59
-,HW131,Woofer,6.31,0.57,102.00000000000001,4.015748031496063,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri HW131.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/ciare_hw131/HW131 - 0ų R.txt,63.5,2.51,0.46,6.35,,0.6,0.29,81.67140000000002,9.4,670.0,6.31,1.5,86.4,70.0,180.0,4.015748031496063,102.00000000000001,32.0,4.4,0.27,86.4,87.4,70.0,180.0,111.40350877192984,6.46
-,HWG130,Woofer,11.17,0.3,105.0,4.133858267716535,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri HWG130.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/ciare_hwg130/HWG130 - 0ų R.txt,44.4,5.0,0.28,5.8,,0.8,0.39000000000000007,86.54625000000001,12.2,1050.0000000000002,11.17,0.7,87.0,130.0,260.0,4.133858267716535,105.0,38.0,6.500000000000001,0.31,87.0,88.4,130.0,260.0,148.0,8.11
-,HX160,Woofer,16.83,0.34,130.0,5.118110236220473,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri HX160.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/CIARE HX160/HX160 - 0ų R.txt,70.7,5.0,0.32,5.44,,0.1,0.04,132.665,7.5,680.0,16.83,0.7,94.3,40.0,90.0,5.118110236220473,130.0,25.0,1.75,1.6650000000000003,94.3,96.0,40.0,90.0,207.94117647058823,7.3
-,L15RLY-P,Woofer,8.38,0.55,97.72,3.847244094488189,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri L15RLY-P.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_l15rly-p/L15RLY-P - 0ų R.txt,55.0,2.41,0.45,6.0,,0.45000000000000007,0.23,74.96120744000001,7.95,1050.0000000000002,8.38,1.1,85.9,80.0,200.0,3.847244094488189,97.72,26.000000000000004,5.0,0.241,85.9,87.2,80.0,200.0,99.99999999999999,5.47
-,L18RCYP,Woofer,29.96,0.45,127.0,5.0,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri L18RCYP.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_l18rcy-p/L18RCYP - 0ų R.txt,36.0,2.64,0.38,5.51,,0.5900000000000001,0.28,126.61265000000002,14.8,1320.0,29.96,1.3,86.8,80.0,250.0,5.0,127.0,26.000000000000004,4.0,0.296,86.8,88.4,80.0,250.0,80.0,6.4
-,L18RNX-P,Woofer,21.43,0.43,125.0,4.921259842519685,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri L18RNX-P.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_l18rnxp/L18RNXP - 0ų R.txt,41.9,2.46,0.37,5.83,,0.5900000000000001,0.29,122.65625,14.33,1010.0,21.43,1.5,87.5,100.0,250.0,4.921259842519685,125.0,39.0,6.0,0.349,87.5,88.9,100.0,250.0,97.44186046511628,7.15
-,M4N,Woofer,8.19,1.19,83.0,3.2677165354330713,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri M4N.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/hivi_m4n/M4N - 0ų R.txt,51.0,3.4,0.88,6.49,,0.33,0.21000000000000002,54.07865000000001,4.92,1980.0,8.19,0.5,81.5,15.0,30.0,3.2677165354330713,83.0,20.0,3.0,0.087,81.5,82.4,15.0,30.0,42.85714285714286,2.93
-,MW13P-8,Woofer,8.21,0.44,95.0,3.7401574803149606,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri MW13P-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SB ACOUSTICS MW13P-8/MW13P-8 - 0ų R.txt,53.0,4.5,0.4,6.16,,0.18,0.07,70.84625,7.8,1160.0,8.21,0.6,86.3,40.0,80.0,3.7401574803149606,95.0,30.5,5.0,0.264,86.3,87.5,40.0,80.0,120.45454545454545,6.03
-,MW16P-8,Woofer,39.26,0.37,124.0,4.881889763779528,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri MW16P-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_mw16p-8/MW16P-8 - 0ų R.txt,31.4,4.8,0.34,6.17,,0.21000000000000002,0.08,120.70160000000001,13.49,1900.0,39.26,0.6,87.1,60.0,120.0,4.881889763779528,124.0,36.00000000000001,6.0,0.316,87.1,88.2,60.0,120.0,84.86486486486486,6.7
-,MW16TX-8,Woofer,31.4,0.43,124.0,4.881889763779528,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri MW16TX-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_mw16tx-8/MW16TX-8 - 0ų R.txt,37.7,6.7,0.4,6.02,,0.17,0.07,120.70160000000001,11.8,1510.0,31.4,0.4,87.8,60.0,120.0,4.881889763779528,124.0,36.00000000000001,6.0,0.373,87.8,89.1,60.0,120.0,87.67441860465117,6.29
-,MW19P-8,Woofer,56.94,0.33,148.0,5.826771653543307,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri MW19P-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_mw19p-8/MW19P-8 - 0ų R.txt,31.3,4.8,0.31,5.9,,0.25,0.09,171.9464,19.0,1360.0,56.94,0.8,89.1,70.0,140.0,5.826771653543307,148.0,39.0,6.7,0.504,89.1,90.5,70.0,140.0,94.84848484848484,8.17
-,ND105-8,Woofer,2.2,0.83,81.0,3.188976377952756,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri ND105-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/dayton_audio_nd105-8/ND105-8 - 0ų R.txt,75.3,3.36,0.67,7.7,,0.87,0.57,51.50385000000001,7.62,590.0,2.2,1.1,82.4,30.0,60.0,3.188976377952756,81.0,25.0,4.0,0.108,82.4,82.6,30.0,60.0,90.72289156626506,5.78
-,ND90-4,Woofer,1.36,0.72,64.0,2.5196850393700787,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri ND90-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/dayton_audio_nd90-4/ND90-4 - 0ų R.txt,80.6,4.2,0.61,3.73,,0.44,0.29,32.153600000000004,4.2,930.0,1.36,0.5,81.8,20.0,40.0,2.5196850393700787,64.0,19.0,4.0,0.094,81.8,85.2,20.0,40.0,111.94444444444444,3.32
-,ND91-8,Woofer,0.85,0.56,64.0,2.5196850393700787,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri ND91-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/dayton_audio_nd91-8/ND91-8 - 0ų R.txt,99.7,3.27,0.48,7.51,,0.7800000000000001,0.54,32.153600000000004,4.38,580.0,0.85,0.8,83.7,30.0,60.0,2.5196850393700787,64.0,25.0,5.1,0.143,83.7,84.0,30.0,60.0,178.03571428571428,6.07
-,NE65W-04,Woofer,0.16,0.69,43.0,1.6929133858267718,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri NE65W-04.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/tymphany_vifa_ne65w-04/NE65W-04 - 0ų R.txt,163.5,6.8,0.63,3.52,,0.060000000000000005,0.029000000000000005,14.514650000000001,1.78,530.0000000000001,0.16,0.3,81.9,25.0,50.0,1.6929133858267718,43.0,25.73,1.7,0.096,81.9,85.5,25.0,50.0,236.95652173913047,3.05
-,P8R-8,Woofer,7.32,2.96,152.0,5.984251968503937,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri P8R-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/DAYTON AUDIO RS125p-8/RS125P-8 - 0ų R.txt,142.12,7.22,2.1,6.04,,0.27,0.15,181.46000000000004,7.980000000000001,160.0,7.32,1.3,90.4,25.0,50.0,5.984251968503937,152.0,25.0,,0.675,90.4,91.6,25.0,50.0,48.013513513513516,3.81
-,PA100,Woofer,1.33,0.82,80.0,3.1496062992125986,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri PA100.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/ciare_pa100/PA100 - 0ų R.txt,129.0,3.3,0.66,5.42,,0.11,0.05,50.24000000000001,4.1,370.0,1.33,1.0,87.3,40.0,80.0,3.1496062992125986,80.0,25.0,2.5,0.33,87.3,89.0,40.0,80.0,157.3170731707317,4.69
-,PA130-16,Woofer,3.05,0.79,97.0,3.818897637795276,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri PA130-16.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/dayton_audio_pa130-16/PA130-16 - 0ų R.txt,95.0,2.6,0.61,13.63,,0.5,0.41,73.86064999999999,7.1,400.0,3.05,1.6,87.1,50.0,100.0,3.818897637795276,97.0,25.0,2.0,0.315,87.1,84.8,50.0,100.0,120.25316455696202,8.55
-,PFXI3.20,Woofer,1.0,0.48,62.0,2.440944881889764,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri PFXI3.20.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/ciare_pfxi3.20/PFXI3.20 - 0ų R.txt,110.0,5.0,0.44,5.06,,0.08,0.12000000000000001,30.1754,2.7,1050.0000000000002,1.0,0.7,86.3,20.0,50.0,2.440944881889764,62.0,20.0,3.0,0.264,86.3,88.3,20.0,50.0,229.16666666666669,4.44
-,PS180-8,Woofer,29.92,0.33,132.0,5.196850393700788,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri PS180-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/dayton_audio_ps180-8/PS180-8 - 0ų R.txt,57.0,4.1,0.31,6.07,,0.1,0.05,136.77839999999998,6.9,1130.0,29.92,0.6,94.1,30.0,60.0,5.196850393700788,132.0,25.4,4.6,1.598,94.1,95.3,30.0,60.0,172.72727272727272,6.74
-,PS95-8,Woofer,0.7800000000000001,0.75,57.0,2.2440944881889764,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri PS95-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/dayton_audio_ps95-8/PS95-8 - 0ų R.txt,107.0,6.0,0.67,7.03,,0.1,0.05800000000000001,25.504650000000005,2.6000000000000005,850.0,0.7800000000000001,0.3,83.0,10.0,20.0,2.2440944881889764,57.0,20.0,2.5,0.122,83.0,83.5,10.0,20.0,142.66666666666666,4.05
-,RS100-8,Woofer,0.56,0.82,55.0,2.1653543307086616,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri RS100-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/dayton_audio_rs100-8/RS100-8 - 0ų.txt,97.0,2.75,0.63,6.2,,0.13,0.11,23.74625,3.85,700.0,0.56,0.9,79.8,30.0,60.0,2.1653543307086616,55.0,25.0,3.5,0.05899999999999999,79.8,80.9,30.0,60.0,118.29268292682927,4.21
-,RS125P-8,Woofer,3.6000000000000005,0.63,82.0,3.2283464566929134,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri RS125P-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/DAYTON AUDIO RS125p-8/RS125P-8 - 0ų R.txt,70.5,3.37,0.53,6.18,,0.23,0.14,52.7834,5.58,910.0,3.6000000000000005,0.7,84.9,,250.0,3.2283464566929134,82.0,25.0,3.9,0.191,84.9,86.0,,250.0,111.9047619047619,4.92
-,RS150-P8A,Woofer,15.620000000000001,0.41,99.9,3.9330708661417324,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri RS150-P8A.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/dayton_audio_rs150p-8a/RS150P-8A - 0ų R.txt,44.3,1.64,0.33,5.85,,0.27,0.14,78.34307850000002,7.18,1800.0000000000002,15.620000000000001,1.2,87.1,40.0,80.0,3.9330708661417324,99.9,25.0,4.0,0.315,87.1,88.5,40.0,80.0,108.04878048780488,5.34
-,RS180-8,Woofer,20.870000000000005,0.48,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri RS180-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/dayton_audio_rs180-8/RS180-8 - 0ų R.txt,40.6,1.5,0.36,6.25,,0.45000000000000007,0.2,138.85865,14.7,1050.0000000000002,20.870000000000005,2.5,86.5,60.0,120.0,5.236220472440945,133.0,38.0,6.0,0.277,86.5,87.6,60.0,120.0,84.58333333333334,6.99
-,SB10PgC21-4,Woofer,1.21,1.0,60.0,2.3622047244094486,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB10PgC21-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/sb_acoustics_sb10pgc21-4/SB10PGC21-4 - 0ų R.txt,92.0,9.8,0.91,3.41,,0.17,0.11,28.260000000000005,2.8,1070.0,1.21,0.2,81.6,20.0,40.0,2.3622047244094486,60.0,20.4,4.500000000000001,0.09,81.6,85.3,20.0,40.0,92.0,2.35
-,SB12PFC25-4,Woofer,3.93,0.59,85.0,3.346456692913386,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB12PFC25-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_sb12pfc25-4/SB12PFC25-4 - 0ų R.txt,73.7,3.9,0.51,3.08,,0.33,0.19,56.71625,5.4,860.0,3.93,0.6,86.2,30.0,60.0,3.346456692913386,85.0,25.4,4.500000000000001,0.254,86.2,90.3,30.0,60.0,124.91525423728815,3.61
-,SB12PFC25-4 singolo,Woofer,3.93,0.59,85.0,3.346456692913386,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB12PFC25-4 singolo.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_sb12pfc25-4/SB12PFC25-4 - 0ų R.txt,73.7,3.9,0.51,3.08,,0.33,0.19,56.71625,5.4,860.0,3.93,0.6,86.2,30.0,60.0,3.346456692913386,85.0,25.4,4.500000000000001,0.254,86.2,90.3,30.0,60.0,124.91525423728815,3.61
-,SB13PFC25-04,Woofer,14.32,0.37,108.0,4.251968503937008,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB13PFC25-04.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_sb13pfc25-08/SB13PFC25-08 - 0ų R.txt,44.9,2.73,0.33,3.13,,0.41,0.18,91.56240000000001,10.8,1160.0,14.32,1.1,87.3,40.0,80.0,4.251968503937008,108.0,25.4,4.500000000000001,0.334,87.3,91.4,40.0,80.0,121.35135135135135,5.08
-,SB13PFC25-08,Woofer,14.36,0.39,109.0,4.291338582677166,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB13PFC25-08.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_sb13pfc25-08/SB13PFC25-08 - 0ų R.txt,45.5,2.47,0.34,5.58,,0.56,0.26,93.26585,10.49,1170.0,14.36,1.2,87.3,40.0,80.0,4.291338582677166,109.0,25.4,4.500000000000001,0.328,87.3,88.8,40.0,80.0,116.66666666666666,6.53
-,SB16PFC25-8,Woofer,31.86,0.45,133.0,5.236220472440945,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB16PFC25-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_sb16pfc25-8/SB16PFC25-08 - 0ų R.txt,39.51,2.74,0.39,5.38,,0.5900000000000001,0.26,138.85865,13.9,1170.0,31.86,1.3,88.3,40.0,80.0,5.236220472440945,133.0,25.4,4.500000000000001,0.416,88.3,90.0,40.0,80.0,87.8,6.27
-,SB17MFC35-8,Woofer,27.07,0.44,124.0,4.881889763779528,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB17MFC35-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_sb17mfc35-8/SB17MFC35-8 - 0ų R.txt,40.1,5.38,0.41,5.73,,0.2,0.07,120.70160000000001,12.0,1310.0000000000002,27.07,0.6,87.9,60.0,120.0,4.881889763779528,124.0,35.50000000000001,5.5,0.378,87.9,89.3,60.0,120.0,91.13636363636364,6.27
-,SB17NRX2C35-4,Woofer,21.050000000000004,0.39,125.0,4.921259842519685,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SB17NRX2C35-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/sb_acoustics_sb17nrx2c35-4/SB17NRX2C35-4 - 0ų R.txt,41.8,4.71,0.36,3.09,,0.13,0.05,122.65625,14.2,1020.0000000000001,21.050000000000004,0.8,87.9,60.0,120.0,4.921259842519685,125.0,35.50000000000001,5.5,0.375,87.9,92.0,60.0,120.0,107.17948717948717,5.44
-,SCW636,Woofer,9.36,0.49,123.0,4.84251968503937,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SCW636.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/morel_scw_636/SCW 636 - 0ų R.txt,53.0,2.05,0.4,4.48,,0.3,0.08,118.76265000000002,18.8,470.0,9.36,3.1,86.6,150.0,300.0,4.84251968503937,123.0,75.0,5.0,0.28,86.6,89.1,150.0,300.0,108.16326530612245,7.61
-,SEAS L12RCYP,Woofer,3.3,0.39,80.0,3.1496062992125986,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SEAS L12RCYP.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SEAS L12RCYP/L12RCYP - 0ų R.txt,62.3,2.5,0.34,5.25,,0.45000000000000007,0.24000000000000002,50.24000000000001,7.0,920.0,3.3,,85.0,70.0,200.0,3.1496062992125986,80.0,26.000000000000004,3.0,0.195,85.0,86.8,70.0,200.0,,6.1
-,SIG180-4,Woofer,16.39,0.48,135.0,5.31496062992126,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SIG180-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/DAYTON AUDIO SIG180-4/SIG180-4 - 0ų R.txt,52.9,15.2,0.47,3.64,,0.5,0.29,143.06625,16.0,570.0,16.39,0.3,88.9,,160.0,5.31496062992126,135.0,31.8,5.0,0.481,88.9,92.4,,160.0,110.20833333333333,6.35
-,SL713-4,Woofer,1.73,1.7,79.8,3.1417322834645667,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SL713-4.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/visaton_sl713-4/SL713-4 - 0ų R.txt,178.8,8.0,1.4,3.62,,0.15,0.08,49.989114,1.62,790.0,1.73,0.2,89.5,10.0,15.0,3.1417322834645667,79.8,15.0,2.0,0.554,89.5,93.0,10.0,15.0,105.1764705882353,1.97
-,SP-155X,Woofer,3.82,1.67,132.0,5.196850393700788,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SP-155X.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/FULLRANGE_files/monacor_sp-155x/SP155X - 0ų R.txt,146.46,3.34,1.1,6.39,,0.43,0.19,136.77839999999998,8.19,140.00000000000003,3.82,2.3,90.5,25.0,50.0,5.196850393700788,132.0,25.500000000000004,1.0,0.684,90.5,91.4,25.0,50.0,87.70059880239522,5.37
-,SPP110-8,Woofer,2.47,0.66,83.0,3.2677165354330713,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri SPP110-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/monacor_spp-110-8/SPP-110-8 - 0ų R.txt,89.0,1.95,0.49,6.49,,0.4,0.2,54.07865000000001,5.36,600.0,2.47,1.5,86.1,30.0,60.0,3.2677165354330713,83.0,25.500000000000004,2.0,0.251,86.1,87.0,30.0,60.0,134.84848484848484,5.43
-,TCP115-8,Woofer,2.3600000000000003,0.65,81.0,3.188976377952756,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri TCP115-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/dayton_audio_tcp115-8/TCP115-8 - 0ų R.txt,69.0,2.63,0.52,7.53,,1.5500000000000003,0.74,51.50385000000001,8.45,630.0,2.3600000000000003,1.4,82.7,40.0,80.0,3.188976377952756,81.0,25.0,4.0,0.11399999999999999,82.7,82.9,40.0,80.0,106.15384615384615,6.51
-,TiW638Nd,Woofer,22.58,0.36,124.0,4.881889763779528,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri TiW638Nd.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/morel_tiw638nd/TiW638Nd - 0ų R.txt,37.0,3.9,0.33,5.7,,0.58,0.4,120.70160000000001,16.9,1090.0,22.58,1.0,86.9,150.0,300.0,4.881889763779528,124.0,75.0,5.25,0.302,86.9,88.4,150.0,300.0,102.77777777777779,7.89
-,U16RCYP,Woofer,13.000000000000002,0.47,110.0,4.330708661417323,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri U16RCYP.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_u16rcy-p/U16RCYP - 0ų R.txt,48.0,2.5,0.4,5.5,,0.61,0.28,94.985,10.8,1020.0000000000001,13.000000000000002,,86.8,60.0,250.0,4.330708661417323,110.0,26.000000000000004,4.0,0.291,86.8,88.4,60.0,250.0,,6.17
-,U18RNX-P,Woofer,18.55,0.48,127.0,5.0,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri U18RNX-P.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SEAS U18RNX-P/U18RNX-P - 0ų R.txt,49.2,2.39,0.4,5.92,,0.29,0.22,126.0,12.8,820.0,18.55,1.7,88.5,80.0,250.0,5.0,127.0,39.0,6.0,0.438,88.5,89.8,80.0,250.0,,6.99
-,W12CY003,Woofer,3.55,0.49,79.9,3.1456692913385833,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri W12CY003.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_w12cy003/W12CY003 - 0ų R.txt,66.0,3.0,0.42,5.48,,0.26,0.21000000000000002,50.114478500000004,5.82,1000.0,3.55,0.8,85.1,70.0,200.0,3.1456692913385833,79.9,26.000000000000004,3.0,0.199,85.1,86.7,70.0,200.0,134.69387755102042,5.2
-,W130S-8,Woofer,6.79,0.78,98.0,3.8582677165354333,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri W130S-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/visaton_-_w130s-8/W130S - 0ų R.txt,68.8,3.32,0.63,6.0,,0.35,0.17,75.39140000000002,6.08,880.0,6.79,0.8,86.4,50.0,80.0,3.8582677165354333,98.0,25.0,2.2500000000000004,0.27,86.4,87.6,50.0,80.0,88.2051282051282,4.56
-,W130SC-8,Woofer,8.43,0.61,98.0,3.8582677165354333,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri W130SC-8.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/visaton_w130sc-8/W130SC-8 - 0ų R.txt,64.0,2.49,0.49,6.0,,0.39000000000000007,0.17,75.39140000000002,5.9,1050.0000000000002,8.43,1.0,87.5,50.0,80.0,3.8582677165354333,98.0,25.0,2.2500000000000004,0.292,87.5,88.7,50.0,80.0,104.91803278688525,4.83
-,W18EX001,Woofer,22.46,0.34,122.0,4.803149606299213,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri W18EX001.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_w18ex001/W18EX001 - 0ų R.txt,34.7,2.21,0.29,5.7,,0.3,0.19,116.83939999999998,18.1,1160.0,22.46,1.8,86.3,100.0,250.0,4.803149606299213,122.0,39.0,5.0,0.263,86.3,87.8,100.0,250.0,102.05882352941177,8.13
-,W18EX003,Woofer,23.42,0.32,124.0,4.881889763779528,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri W18EX003.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/SEAS W18EX003/W18EX003 - 0ų R.txt,35.1,5.0,0.3,6.1,,0.18,0.1,120.70160000000001,18.1,1140.0,23.42,0.8,86.9,160.0,280.0,4.881889763779528,124.0,39.0,5.0,0.3,86.9,88.1,160.0,280.0,109.6875,8.72
-,W18NX001,Woofer,24.61,0.41,131.0,5.1574803149606305,,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/TS_Params/Parametri W18NX001.xlsx,loudspeaker_databases/dibirama_LOUDSPEAKER_DB/MIDWOOFER_files/seas_w18nx001/W18NX001 - 0ų R.txt,44.0,3.13,0.36,5.75,,0.24000000000000002,0.18,134.71385,13.2,990.0,24.61,,89.2,80.0,250.0,5.1574803149606305,131.0,39.0,7.0,0.507,89.2,90.6,80.0,250.0,,7.18
