Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
Eighteen Sound	12NCX910BE	loudspeakerdatabase.com/18Sound/12NCX910BE	Coaxial	12	300	96.8	57.0	10.00	0.31	0.30	6.9	450	900	8	5.3	0.78	531.0	53	44.4	147	58	1.9
Eighteen Sound	12NCX910N	loudspeakerdatabase.com/18Sound/12NCX910N	Coaxial	12	300	96.8	57.0	10.00	0.31	0.30	6.9	450	900	8	5.3	0.78	531.0	53	44.4	147	58	1.9
Eighteen Sound	12ND610	loudspeakerdatabase.com/18Sound/12ND610	Mid-range	12	300	99.1	46.0	4.30	0.15	0.14	3.5	450	700	8	5.9	1.17	531.0	49	40.2	244	94.4	3.29
Eighteen Sound	12ND610 16Ω	loudspeakerdatabase.com/18Sound/12ND610_16Ω	Mid Bass	12	300	99.9	50.0	4.56	0.22	0.21	3.5	450	700	16	11.9	0.76	530.0	45	36.3	225	85	3.1
Eighteen Sound	12ND710	loudspeakerdatabase.com/18Sound/12ND710	Mid Bass	12	300	98.9	52.0	6.00	0.20	0.20	5.0	450	700	8	5.0	1.0	530.0	40	31.3	234	92	2.18
Eighteen Sound	12ND710 16Ω	loudspeakerdatabase.com/18Sound/12ND710_16Ω	Mid Bass	12	300	98.7	53.0	4.00	0.31	0.29	5.0	450	700	16	9.4	0.74	530.0	41	32.3	220	85	3.41
Eighteen Sound	12ND730	loudspeakerdatabase.com/18Sound/12ND730	Subwoofer	12	300	96.3	45.0	5.13	0.24	0.23	6.5	400	600	8	5.6	1.73	531.0	55	46.2	227	90	3.03
Eighteen Sound	12ND830	loudspeakerdatabase.com/18Sound/12ND830	Subwoofer	12	300	97.6	58.0	6.48	0.25	0.24	6.5	450	700	4	2.8	0.96	531.0	47	38.2	160	63	2.64
Eighteen Sound	12ND830 8Ω	loudspeakerdatabase.com/18Sound/12ND830_8Ω	Subwoofer	12	300	97.0	55.0	5.15	0.30	0.28	6.5	450	700	8	5.7	1.5	531.0	46	37.2	182	72	3.09
Eighteen Sound	12ND930	loudspeakerdatabase.com/18Sound/12ND930	Subwoofer	12	300	97.0	50.0	5.64	0.22	0.21	6.5	500	800	8	5.5	1.65	531.0	57	48.2	178	70	3.18
Eighteen Sound	12NDA520	loudspeakerdatabase.com/18Sound/12NDA520	Woofer	12	300	101.2	50.0	5.50	0.28	0.27	4.0	300	450	8	5.2	0.03	531.0	36	27.2	281	111	2.06
Eighteen Sound	12NLW9300	loudspeakerdatabase.com/18Sound/12NLW9300	Subwoofer	12	300	93.3	47.0	5.50	0.45	0.42	8.0	800	1200	8	4.7	0.53	531.0	82	73.2	140	56	4.4
