Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
Fostex	FE108EΣ	loudspeakerdatabase.com/Fostex/FE108EΣ	Full-range	4	100	91.7	77.0	7.79	0.32	0.30	0.28	8	24	8	6.8	0.04	50.0	2.7	2.4	1590	5.7	0.17
Fostex	FE126En	loudspeakerdatabase.com/Fostex/FE126En	Full-range	4.7	120	94.4	83.0	4.80	0.33	0.30	0.35	15	45	8	7.2	0.04	65.0	2.8	2.4	1350	8.5	0.3
Fostex	FE166En	loudspeakerdatabase.com/Fostex/FE166En	Full-range	6.5	160	95.7	53.0	3.43	0.27	0.25	1.0	22	65	8	7.2	0.05	133.0	6.8	5.7	1474	37.02	0.66
Fostex	FE168EΣ	loudspeakerdatabase.com/Fostex/FE168EΣ	Full-range	6.5	160	92.4	51.0	5.33	0.27	0.26	1.6	27	80	8	6.8	0.06	113.0	8.7	7.7	1278	23.7	0.52
Fostex	FE168NS	loudspeakerdatabase.com/Fostex/FE168NS	Full-range	6.3	160	92.6	60.0	7.30	0.40	0.39	2.2	20	60	8	7.1	0.18	128.6	8.5	7.3	830	19.5	0.44
Fostex	FE206En	loudspeakerdatabase.com/Fostex/FE206En	Full-range	8	200	97.8	45.0	4.57	0.19	0.19	0.8	30	90	8	6.8	0.05	206.0	12.2	10	1172	70.99	0.75
Fostex	FE208-Sol	loudspeakerdatabase.com/Fostex/FE208-Sol	Full-range	8	200	97.7	43.0	6.70	0.15	0.15	1.45	35	100	8	6.4	0.2	206.0	14.3	11.9	930	56	0.58
Fostex	FE208EΣ	loudspeakerdatabase.com/Fostex/FE208EΣ	Full-range	8	200	97.1	42.0	6.19	0.19	0.18	1.25	40	120	8	6.4	0.05	201.0	13.3	11	1069	60.1	0.57
Fostex	FE83En	loudspeakerdatabase.com/Fostex/FE83En	Full-range	3	80	87.2	165	4.06	1.06	0.84	0.15	5	7	8	7.5	0.03	28.3	1.5	1.4	622	0.7	0.39
Fostex	FE88-Sol	loudspeakerdatabase.com/Fostex/FE88-Sol	Full-range	3.4	85	89.1	100	3.91	0.51	0.45	1.1	10	15	8	7.0	0.06	37.0	2.2	2	1040	2	0.35
Fostex	FF105WK	loudspeakerdatabase.com/Fostex/FF105WK	Full-range	4	100	88.9	75.0	4.20	0.46	0.41	1.7	10	30	8	6.7	0.04	50.0	3.4	3.1	1346	4.848	0.38
Fostex	FF125WK	loudspeakerdatabase.com/Fostex/FF125WK	Full-range	4.5	120	89.1	67.0	5.09	0.46	0.42	1.65	16	50	8	6.7	0.04	66.0	5	4.6	1153	7.265	0.41
Fostex	FF165WK	loudspeakerdatabase.com/Fostex/FF165WK	Full-range	6.3	160	92.3	50.0	4.19	0.37	0.34	1.85	30	90	8	6.5	0.06	132.0	9.5	8.4	1068	27.838	0.71
Fostex	FF225WK	loudspeakerdatabase.com/Fostex/FF225WK	Full-range	8	200	92.8	44.0	2.31	0.41	0.35	2.25	34	100	8	6.0	0.07	220.0	18.4	16	826	57.898	2.2
Fostex	FF85WK	loudspeakerdatabase.com/Fostex/FF85WK	Full-range	3.2	80	86.0	115	3.30	0.68	0.55	0.35	5	15	8	7.2	0.03	28.0	2	1.9	909	1.036	0.44
Fostex	FW108HS	loudspeakerdatabase.com/Fostex/FW108HS	Woofer	4	100	84.8	65.0	8.78	0.49	0.46	1.55	20	50	8	7.2	0.48	50.0	6	5.7	1005	3.6	0.28
Fostex	FW168HR	loudspeakerdatabase.com/Fostex/FW168HR	Woofer	6.5	160	87.3	45.0	3.25	0.38	0.35	2.65	35	100	8	7.1	0.07	110.0	15.7	14.7	830	15.1	1.37
Fostex	FW168HS	loudspeakerdatabase.com/Fostex/FW168HS	Woofer	6.5	160	86.6	42.0	13.80	0.35	0.34	4.0	35	100	8	5.9	0.47	132.7	25	23.8	600	14.31	0.48
Fostex	FW208HS	loudspeakerdatabase.com/Fostex/FW208HS	Woofer	8	200	86.6	32.0	12.93	0.42	0.40	8.8	50	100	8	6.5	0.43	206.0	37	34.6	1005	42.69	0.58
Fostex	FW305	loudspeakerdatabase.com/Fostex/FW305	Woofer	12	300	93.4	25.0	2.73	0.28	0.31	4.8	40	125	8	6.6		526.9	55	46.4	645	254	3.16
Fostex	FW405N	loudspeakerdatabase.com/Fostex/FW405N	Woofer	15	400	94.3	27.0	6.76	0.48	0.45	7.9	50	150	8	6.9	0.64	890.0	100.8	82.3	344	392.5	2.53
Fostex	FW800HS	loudspeakerdatabase.com/Fostex/FW800HS	Subwoofer	31.5	800	98.4	25.0	19.22	0.71	0.69	2.3	150	450	8	6.6	0.16	4015.0	692	523.1	64	1473	5.66
Fostex	P1000K	loudspeakerdatabase.com/Fostex/P1000K	Full-range	4	100	88.7	82.0	4.00	0.60	0.53	0.35	12	36	8	6.8	0.04	50.0	3.1	2.8	1241	4.84	0.4
Fostex	P650K	loudspeakerdatabase.com/Fostex/P650K	Full-range	2.6	65	83.1	157	3.39	1.40	0.99	0.5	5	15	8	7.3	0.25	21.0	1.8	1.7	576	0.35	0.52
Fostex	P800K	loudspeakerdatabase.com/Fostex/P800K	Full-range	3.2	80	83.3	115	3.79	1.33	0.99	0.5	8	24	8	7.2	0.04	28.0	2.2	2.1	873	1.043	0.42
Fostex	PW80K	loudspeakerdatabase.com/Fostex/PW80K	Woofer	3.2	80	84.2	130	5.48	1.41	1.08	2.2	8	24	8	7.4	0.29	28.0	2.3	2.2	674	0.882	0.34
Fostex	W300AII	loudspeakerdatabase.com/Fostex/W300AII	Woofer	12	300	92.5	25.0	9.17	0.29	0.28	6.5	50	150	8	7.0	0.1	539.0	92.7	83.8	56	227.01	1.59
Fostex	W400A-HR	loudspeakerdatabase.com/Fostex/W400A-HR	Woofer	15	400	92.8	25.0	8.20	0.32	0.31	5.5	67	200	8	6.0	2.64	820.0	130	113.1	330	310	2.49
Fountek	FE85	loudspeakerdatabase.com/Fountek/FE85	Full-range	3.5	85	85.0	125	2.13	0.67	0.52	1.5	12	24	8	6.0		27.0	2.1	2	820	0.85	0.76
Fountek	FM135D-II	loudspeakerdatabase.com/Fountek/FM135D-II	Mid-range	5.25	135	90.4	73.0	1.84	0.33	0.28	1.45	30	60	8	6.3		83.3	7.2	6.7	656	6.476	1.8
Fountek	FR135EX	loudspeakerdatabase.com/Fountek/FR135EX	Full-range	5.5	135	84.9	61.5	1.71	0.69	0.49	5.0	40	80	8	6.0		70.5	7.5	7.1	887	2.263	1.71
Fountek	FR58C	loudspeakerdatabase.com/Fountek/FR58C	Full-range	2.5	58	83.1	154	2.37	2.39	1.19	1.1	5	10	8	6.4		18.1	1	0.9	1060	0.493	0.41
Fountek	FR58EX	loudspeakerdatabase.com/Fountek/FR58EX	Full-range	2.5	58	82.1	134	2.60	0.69	0.55	2.9	15	30	8	6.4		17.4	1.9	1.9	737	0.315	0.62
Fountek	FR59EXE	loudspeakerdatabase.com/Fountek/FR59EXE	Full-range	2.5	59	85.5	139	1.47	0.48	0.36	1.4	10	20	4	3.9		17.0	1.3	1.2	1026	0.42	0.76
Fountek	FR88	loudspeakerdatabase.com/Fountek/FR88	Full-range	3.5	88	84.2	105	2.57	0.78	0.60	1.0	15	30	8	6.3	0.05	27.3	2	1.9	1127	1.2	0.51
Fountek	FR88EX	loudspeakerdatabase.com/Fountek/FR88EX	Full-range	3.5	88	83.7	95.0	1.96	0.62	0.47	3.0	15	30	8	6.0	0.05	27.3	2.4	2.2	1196	1.269	0.72
Fountek	FR89EX	loudspeakerdatabase.com/Fountek/FR89EX	Full-range	3.5	89	85.1	97.0	4.89	0.58	0.52	5.0	25	50	8	5.8		28.3	2.2	2.1	1217	1.4	0.27
Fountek	FW100B	loudspeakerdatabase.com/Fountek/FW100B	Mid Bass	4	100	83.2	77.0	3.09	0.79	0.63	4.0	35	70	8	6.2		55.4	8	7.7	487	2.124	1.26
Fountek	FW135H	loudspeakerdatabase.com/Fountek/FW135H	Mid-range	5.25	135	85.5	59.1	1.94	0.61	0.46	5.0	30	60	8	6.8		86.6	11.2	10.6	649	6.913	2.13
Fountek	FW146	loudspeakerdatabase.com/Fountek/FW146	Mid Bass	5.5	146	85.9	50.0	3.51	0.46	0.40	3.6	35	70	8	6.0		77.6	8.9	8.4	1142	9.8	0.8
Fountek	FW168	loudspeakerdatabase.com/Fountek/FW168	Mid Bass	6.5	168	87.1	45.0	3.25	0.45	0.40	4.6	50	100	8	7.2		119.0	14.7	13.7	821	16.5	1.28
Fountek	FW168K	loudspeakerdatabase.com/Fountek/FW168K	Mid Bass	6.5	168	86.9	48.6	2.32	0.52	0.43	5.0	50	100	8	6.8		124.7	15.7	14.5	684	15.1	2.06
Fountek	FW200	loudspeakerdatabase.com/Fountek/FW200	Mid Bass	8	200	87.7	35.7	2.26	0.68	0.53	4.35	75	150	8	6.8		213.8	20.9	18.5	948	61.6	2.08
Fountek	FW222	loudspeakerdatabase.com/Fountek/FW222	Mid Bass	8	222	86.8	34.6	2.61	0.61	0.49	7.0	75	150	8	6.8		219.0	30.2	27.7	700	47.7	2.52
Fountek	FW300DV	loudspeakerdatabase.com/Fountek/FW300DV	Subwoofer	12	300	88.0	39.0	3.03	0.58	0.49	12.0	300	600	4	3.1		530.9	161.9	153.1	100	39.6	13.08
Fountek	FW322 4ohm	loudspeakerdatabase.com/Fountek/FW322_4ohm	Subwoofer	12	322	90.0	41.8	2.21	0.43	0.36	10.0	300	600	4	3.4		514.7	133.8	125.3	108	40.6	15.88
Fountek	FW322 8ohm	loudspeakerdatabase.com/Fountek/FW322_8ohm	Subwoofer	12	322	89.9	40.1	4.89	0.51	0.46	8.0	300	600	8	6.8		514.7	111.6	103.1	141	53	5.75
Fountek	FW323 4ohm	loudspeakerdatabase.com/Fountek/FW323_4ohm	Subwoofer	12	323	85.7	30.0	2.37	0.56	0.45	17.0	350	700	4	3.4		491.0	190.6	182.5	150	51.4	15.16
GRS	10SSW-4	loudspeakerdatabase.com/GRS/10SSW-4	Subwoofer	10	264	85.2	46.4	8.57	1.16	1.02	7.0	150	300	4	4.5	2.36	301.9	93.7	89.6	130	19.8	3.19
Goldwood	GW-1034	loudspeakerdatabase.com/Goldwood/GW-1034	Woofer	10	254	86.9	34.3	4.39	1.10	0.88	2.5	130	250	4	3.5	0.4	355.4	47	42.3	459	81.4	2.31
Goldwood	GW-1038	loudspeakerdatabase.com/Goldwood/GW-1038	Woofer	10	254	87.1	33.7	4.40	1.50	1.10	2.5	130	250	8	7.2	0.6	355.4	43.7	39	509	90.3	2.1
Goldwood	GW-1038/PA	loudspeakerdatabase.com/Goldwood/GW-1038_PA	Subwoofer	10	257	92.1	63.3	4.19	1.21	0.94	2.5	120	210	8	7.3	0.5	360.7	24.5	19.6	258	47.1	2.33
Goldwood	GW-1058	loudspeakerdatabase.com/Goldwood/GW-1058	Subwoofer	10	257	92.7	43.4	2.70	0.46	0.39	2.0	180	280	8	5.3	0.28	355.4	37.4	32.6	359	63.678	3.78
Goldwood	GW-10PC/4	loudspeakerdatabase.com/Goldwood/GW-10PC_4	Subwoofer	10	260	89.4	43.1	4.25	0.45	0.40	5.0	200	400	4	3.8	1.4	344.9	69.7	65	196	32.7	4.44
Goldwood	GW-10PC/8	loudspeakerdatabase.com/Goldwood/GW-10PC_8	Subwoofer	10	260	89.9	47.9	4.85	0.53	0.47	5.0	200	400	8	7.2	1.86	344.9	57.8	53.1	191	31.014	3.58
Goldwood	GW-1238/PA	loudspeakerdatabase.com/Goldwood/GW-1238_PA	Subwoofer	12	308	94.5	43.4	3.29	0.89	0.70	2.5	130	240	8	7.1	0.5	523.4	32.7	24.2	412	164.1	2.71
Goldwood	GW-1244	loudspeakerdatabase.com/Goldwood/GW-1244	Woofer	12	305	87.2	29.7	3.30	0.86	0.68	3.0	150	290	4	3.6	0.6	525.9	93.2	84.8	308	119.6	5.27
Goldwood	GW-1248	loudspeakerdatabase.com/Goldwood/GW-1248	Woofer	12	305	87.0	33.3	3.30	1.30	1.00	3.0	150	290	8	7.1	0.6	525.9	88.2	79.8	260	103.5	5.59
Goldwood	GW-1258	loudspeakerdatabase.com/Goldwood/GW-1258	Subwoofer	12	308	96.7	41.5	3.10	0.56	0.48	2.0	190	290	8	5.3	0.06	585.6	45	35.5	328	157.95	3.79
Goldwood	GW-12PC/4	loudspeakerdatabase.com/Goldwood/GW-12PC_4	Subwoofer	12	311	89.4	32.9	3.90	0.44	0.39	5.0	225	450	4	3.7	1.7	487.9	106.6	98.7	219	73.2	5.65
Goldwood	GW-12PC/8	loudspeakerdatabase.com/Goldwood/GW-12PC_8	Subwoofer	12	311	89.0	33.0	3.83	0.56	0.49	5.0	225	450	8	7.1	2.1	494.0	93.1	85.1	251	85.9	5.04
Goldwood	GW-1538/PA	loudspeakerdatabase.com/Goldwood/GW-1538_PA	Subwoofer	15	391	92.9	41.2	5.95	1.76	1.36	2.5	140	270	8	7.0	0.6	840.0	82.2	65	182	180.2	3.58
Goldwood	GW-1558	loudspeakerdatabase.com/Goldwood/GW-1558	Subwoofer	15	391	96.1	31.0	3.70	0.76	0.63	2.0	200	300	8	5.3	0.1	872.9	70.5	52.6	374	399.74	3.71
Goldwood	GW-15PC/4	loudspeakerdatabase.com/Goldwood/GW-15PC_4	Subwoofer	15	387	91.3	33.3	3.40	0.49	0.43	6.0	275	550	4	3.7	2.4	823.7	173.3	156.6	131	125.2	10.67
Goldwood	GW-15PC/8	loudspeakerdatabase.com/Goldwood/GW-15PC_8	Subwoofer	15	387	91.2	32.9	3.59	0.55	0.47	6.0	275	550	8	7.1	2.49	823.7	151.8	135.1	155	153.1	8.74
Goldwood	GW-1858	loudspeakerdatabase.com/Goldwood/GW-1858	Subwoofer	18	457	93.3	30.3	6.70	1.30	1.10	2.0	220	340	8	5.3	0.6	1277.0	120.9	90.2	229	523.8	3.43
Goldwood	GW-204/4S	loudspeakerdatabase.com/Goldwood/GW-204_4S	Woofer	4	127	87.6	140	7.19	2.20	1.69	1.5	40	70	4	3.7	0.1	53.5	5.2	4.9	240	1	0.63
Goldwood	GW-204/8S	loudspeakerdatabase.com/Goldwood/GW-204_8S	Woofer	4	127	87.5	137	6.82	2.02	1.56	1.5	40	70	8	7.3	0.2	53.5	4.9	4.6	276	1.1	0.62
Goldwood	GW-205/4S	loudspeakerdatabase.com/Goldwood/GW-205_4S	Woofer	5.25	152	87.2	83.1	3.18	0.87	0.68	1.5	70	130	4	3.6	0.2	96.8	9.1	8.4	400	5.3	1.49
Goldwood	GW-205/8S	loudspeakerdatabase.com/Goldwood/GW-205_8S	Woofer	5.25	152	86.7	86.1	3.18	1.10	0.82	2.0	70	130	8	7.1	0.4	96.8	9	8.3	381	5	1.53
Goldwood	GW-206/4	loudspeakerdatabase.com/Goldwood/GW-206_4	Woofer	6.5	165	87.4	58.9	3.84	0.73	0.61	2.5	90	180	4	3.7	0.4	136.4	14.4	13.2	507	13.2	1.39
Goldwood	GW-206/8	loudspeakerdatabase.com/Goldwood/GW-206_8	Woofer	6.5	165	86.7	64.6	3.39	0.75	0.75	2.5	90	180	8	7.1	0.5	136.4	14.2	13	426	11.1	1.7
Goldwood	GW-208/4	loudspeakerdatabase.com/Goldwood/GW-208_4	Woofer	8	203	87.4	51.5	4.11	0.85	0.70	2.5	100	200	4	3.7	0.4	205.9	24.9	22.7	383	22.8	1.96
Goldwood	GW-208/8	loudspeakerdatabase.com/Goldwood/GW-208_8	Woofer	8	203	87.8	56.1	3.96	1.09	0.86	2.5	100	200	8	7.3	0.6	205.9	21	18.8	383	22.8	1.87
Goldwood	GW-210/4	loudspeakerdatabase.com/Goldwood/GW-210_4	Woofer	10	254	88.7	41.8	5.54	1.32	1.07		110	220	4	3.8	0.4	344.9	37.7	33.1	384	64.2	1.79
Goldwood	GW-210/8	loudspeakerdatabase.com/Goldwood/GW-210_8	Woofer	10	254	88.0	41.0	4.59	1.61	1.19		110	220	8	7.1	0.5	344.9	42.1	37.5	358	59.7	2.36
Goldwood	GW-212/4	loudspeakerdatabase.com/Goldwood/GW-212_4	Woofer	12	305	90.8	35.8	6.07	1.50	1.20	2.5	120	240	4	3.6	0.5	519.5	45	36.7	440	166.6	1.67
Goldwood	GW-212/8	loudspeakerdatabase.com/Goldwood/GW-212_8	Woofer	12	305	89.9	38.8	5.27	1.98	1.44	2.5	120	240	8	7.0	0.6	525.9	64.4	56	261	101.6	2.98
Goldwood	GW-215/4	loudspeakerdatabase.com/Goldwood/GW-215_4	Woofer	15	381	91.9	29.6	7.89	2.44	1.86	3.5	135	250	4	3.6	0.4	823.4	94.4	77.9	306	291.6	2.23
Goldwood	GW-215/40/8	loudspeakerdatabase.com/Goldwood/GW-215_40_8	Woofer	15	381	92.7	30.5	5.15	1.38	1.09	3.5	150	300	8	7.2	0.84	823.4	68	51.5	274	261.205	2.53
Goldwood	GW-215/8	loudspeakerdatabase.com/Goldwood/GW-215_8	Woofer	15	381	92.5	29.5	7.09	2.69	1.95	3.5	135	250	8	7.1	0.9	823.4	75.7	59.2	385	366.5	1.98
Goldwood	GW-4028/S	loudspeakerdatabase.com/Goldwood/GW-4028_S	Woofer	4	111	82.9	83.1	2.40	1.00	0.70	1.8	40	70	8	7.1	0.4	49.5	6	5.7	606	2.1	1.31
Goldwood	GW-406D	loudspeakerdatabase.com/Goldwood/GW-406D	Woofer	6.5	165	87.7	60.3	4.13	0.75	0.63	2.0	60	90	8	14.0	1.6	136.4	13.7	12.5	508	13.2	1.26
Goldwood	GW-408D	loudspeakerdatabase.com/Goldwood/GW-408D	Woofer	8	203	87.5	51.2	4.46	0.75	0.64	2.5	100	220	8	14.8	2.0	205.9	27.7	25.5	350	20.8	2.0
Goldwood	GW-410D	loudspeakerdatabase.com/Goldwood/GW-410D	Woofer	10	254	89.0	40.4	6.17	0.68	0.61		110	220	4	7.2	1.2	344.9	45.7	41.1	341	56.9	1.88
Goldwood	GW-412D	loudspeakerdatabase.com/Goldwood/GW-412D	Woofer	12	305	91.5	37.8	5.76	0.83	0.73	2.5	130	260	8	13.6	0.2	525.9	63.5	55.1	279	108.5	2.62
Goldwood	GW-5028/S	loudspeakerdatabase.com/Goldwood/GW-5028_S	Woofer	5.25	140	85.3	80.1	3.90	1.20	0.90	1.8	70	130	8	7.1	0.4	83.7	9.1	8.5	426	4.2	1.17
Goldwood	GW-6024	loudspeakerdatabase.com/Goldwood/GW-6024	Woofer	6.5	165	85.9	53.7	3.05	0.71	0.57	2.5	90	170	4	3.6	0.4	136.4	19.1	17.9	459	12	2.11
Goldwood	GW-6028	loudspeakerdatabase.com/Goldwood/GW-6028	Woofer	6.5	165	85.5	58.1	3.50	1.20	0.90	2.5	90	170	8	7.3	0.5	136.4	16	14.8	469	11.7	1.67
Goldwood	GW-6PC/4	loudspeakerdatabase.com/Goldwood/GW-6PC_4	Subwoofer	6.5	175	78.3	45.6	7.95	0.97	0.87	4.0	140	280	4	3.7	0.9	136.4	61.6	60.4	348	10	2.22
Goldwood	GW-6PC/8	loudspeakerdatabase.com/Goldwood/GW-6PC_8	Subwoofer	6.5	175	87.0	59.3	6.31	0.50	0.46	4.0	140	280	8	7.4	2.1	136.4	24.7	23.5	293	7.6	1.46
Goldwood	GW-8002/8	loudspeakerdatabase.com/Goldwood/GW-8002_8	Woofer	8	203	89.0	57.2	5.23	2.04	1.47	2.5	70	130	8	7.3	0.4	210.0	19.2	17	404	25	1.32
Goldwood	GW-8003/8	loudspeakerdatabase.com/Goldwood/GW-8003_8	Full-range	8	203	86.7	41.5	3.23	1.04	0.79		130	260	8	7.3	0.62	214.1	21.2	18.9	692	44.5	1.71
Goldwood	GW-8004/8	loudspeakerdatabase.com/Goldwood/GW-8004_8	Coaxial	8	203	87.3	51.1	3.77	1.20	0.91		35	50	8	7.6	0.68	214.1	22.4	20.1	433	27.9	1.91
Goldwood	GW-8024	loudspeakerdatabase.com/Goldwood/GW-8024	Woofer	8	203	86.2	44.1	3.42	0.93	0.73	2.5	100	190	4	3.7	0.4	218.2	28.5	26.2	457	30.6	2.31
Goldwood	GW-8028	loudspeakerdatabase.com/Goldwood/GW-8028	Woofer	8	203	85.2	36.0	3.90	1.21	0.92	2.5	100	190	8	7.2	0.5	218.2	26.9	24.6	733	43.6	1.56
Goldwood	GW-8PC/4	loudspeakerdatabase.com/Goldwood/GW-8PC_4	Subwoofer	8	203	87.6	44.2	5.98	0.49	0.45	4.5	165	330	4	3.7	1.2	205.9	36.3	34.1	357	21.3	1.69
Goldwood	GW-8PC/8	loudspeakerdatabase.com/Goldwood/GW-8PC_8	Subwoofer	8	203	87.7	55.0	5.89	0.62	0.56	4.5	165	330	8	7.2	0.98	205.9	34.3	32.1	244	14.54	2.01
Goldwood	GW-S525/4	loudspeakerdatabase.com/Goldwood/GW-S525_4	Woofer	5.25	145	84.2	72.9	3.79	1.15	0.88	2.0	70	130	4	3.6	0.3	82.3	10.5	9.9	451	4.3	1.27
Goldwood	GW-S525/8	loudspeakerdatabase.com/Goldwood/GW-S525_8	Woofer	5.25	145	84.6	81.1	2.86	1.18	0.84	2.0	70	130	8	7.0	0.4	82.3	9.7	9.1	397	3.8	1.73
Goldwood	GW-S650/4	loudspeakerdatabase.com/Goldwood/GW-S650_4	Woofer	6.5	178	86.5	55.0	3.79	0.87	0.71	2.0	85	170	4	3.7	0.3	139.7	14.6	13.3	574	15.7	1.33
Goldwood	GW-S650/8	loudspeakerdatabase.com/Goldwood/GW-S650_8	Woofer	6.5	178	85.4	56.2	3.49	1.09	0.83	2.0	85	170	8	7.0	0.4	139.7	16.8	15.5	477	13.1	1.7
HELIX	C 6B	loudspeakerdatabase.com/HELIX/C_6B	Woofer	6.5	165	87.3	54.0	11.10	0.55	0.53	3.0	150	300	4	3.4		135.0	17.8	16.6	490	12.4	0.54
HELIX	CB C100.2-S3	loudspeakerdatabase.com/HELIX/CB_C100.2-S3	2 way	4	100	82.9	113	4.97	1.05	0.87	2.5	60	90	3	3.0		45.0	7.2	7	272	0.8	1.04
HELIX	CB C130.2-S3	loudspeakerdatabase.com/HELIX/CB_C130.2-S3	2 way	5	130	86.9	92.0	4.28	1.18	0.92	2.5	70	105	3	3.0		97.0	9.7	9	303	4	1.33
HELIX	CB C165.2-S3	loudspeakerdatabase.com/HELIX/CB_C165.2-S3	2 way	6.5	165	87.7	65.0	4.78	0.93	0.78	2.5	80	120	3	3.0		139.0	12.5	11.3	480	12.9	1.09
HELIX	CB C460.2-S3	loudspeakerdatabase.com/HELIX/CB_C460.2-S3	2 way	4	100	86.9	120	6.18	1.14	0.96	2.5	50	75	3	3.1		77.0	8.7	8.3	204	1.7	1.06
HELIX	CB C570.2-S3	loudspeakerdatabase.com/HELIX/CB_C570.2-S3	2 way	5	130	87.4	67.0	3.64	1.04	0.81	2.5	70	105	3	3.0		149.0	14.3	13.2	399	12.4	1.64
HELIX	CB C690.2-S3	loudspeakerdatabase.com/HELIX/CB_C690.2-S3	2 way	6	160	89.7	56.0	3.73	0.63	0.54	2.0	100	150	3	3.1		205.0	19.1	17.4	420	24.7	1.81
HELIX	CB C87.2-S3	loudspeakerdatabase.com/HELIX/CB_C87.2-S3	2 way	3.5	87	83.9	92.0	3.80	0.74	0.62	2.2	40	60	3	3.0		36.0	3.6	3.4	820	1.5	0.52
HELIX	Ci3 C100.2FM-S3	loudspeakerdatabase.com/HELIX/Ci3_C100.2FM-S3	Mid-range	4	100	90.2	137	4.37	0.78	0.66	2.0	80	120	3	3.0		57.0	3	2.7	456	2.1	0.58
HELIX	Ci3 C130.2-S3	loudspeakerdatabase.com/HELIX/Ci3_C130.2-S3	Mid Bass	5	130	88.1	92.0	2.76	0.90	0.68	3.2	90	135	3	3.0		97.0	7.6	6.9	374	4.9	1.6
HELIX	Ci3 C165.2FM-S3	loudspeakerdatabase.com/HELIX/Ci3_C165.2FM-S3	Mid Bass	6.5	165	88.2	72.0	4.02	1.04	0.82	3.2	100	150	3	3.1		133.0	10.4	9.3	466	11.5	1.17
HELIX	Ci3 M100FM-S3	loudspeakerdatabase.com/HELIX/Ci3_M100FM-S3	Mid-range	4	100	87.4	146	4.49	1.02	0.83	2.0	80	120	3	3.0		53.0	4.3	4	280	1.1	0.87
HELIX	Ci3 W130-S3	loudspeakerdatabase.com/HELIX/Ci3_W130-S3	Mid Bass	5	130	87.1	89.0	3.11	0.97	0.74	3.2	90	135	3	3.1		98.0	9.1	8.4	350	4.6	1.65
HELIX	Ci3 W165FM-S2	loudspeakerdatabase.com/HELIX/Ci3_W165FM-S2	Mid Bass	6.5	165	88.1	74.0	3.92	0.92	0.74	3.7	100	150	2	1.8		133.0	12.5	11.4	370	8.8	1.48
HELIX	Ci3 W165FM-S3	loudspeakerdatabase.com/HELIX/Ci3_W165FM-S3	Mid Bass	6.5	165	87.9	70.0	4.17	1.05	0.84	3.2	100	150	3	3.0		133.0	11.3	10.2	454	11.2	1.18
HELIX	Ci3 W200FM-S2	loudspeakerdatabase.com/HELIX/Ci3_W200FM-S2	Woofer	8	200	89.4	72.0	4.56	1.09	0.88	4.0	100	150	2	1.8		214.0	20.8	18.6	230	14.5	2.07
HELIX	Ci3 W200FM-S3	loudspeakerdatabase.com/HELIX/Ci3_W200FM-S3	Woofer	8	200	89.6	67.0	4.25	0.93	0.76	3.8	100	150	3	3.0		214.0	18.8	16.6	300	19	1.87
HELIX	Ci7 M100FM-S3	loudspeakerdatabase.com/HELIX/Ci7_M100FM-S3	Mid-range	4	100	86.6	85.0	4.58	0.52	0.47	1.3	100	150	3	3.0		55.0	5.9	5.6	590	2.5	0.69
HELIX	Ci7 W130-S3	loudspeakerdatabase.com/HELIX/Ci7_W130-S3	Mid Bass	5	130	87.1	73.0	2.38	0.50	0.41	3.4	120	180	3	2.9		85.0	11.1	10.5	420	4.3	2.15
HELIX	Ci7 W165FM-S3	loudspeakerdatabase.com/HELIX/Ci7_W165FM-S3	Mid Bass	6.5	165	87.1	60.0	3.00	0.68	0.55	3.7	150	225	3	2.9		131.0	14.8	13.7	480	11.6	1.83
HELIX	Ci7 W200FM-S3	loudspeakerdatabase.com/HELIX/Ci7_W200FM-S3	Woofer	8	200	87.4	52.0	6.04	0.78	0.69	3.9	150	225	3	3.0		201.0	25.6	23.6	370	20.8	1.4
HELIX	IK S10-SVC2	loudspeakerdatabase.com/HELIX/IK_S10-SVC2	Shallow subwoofer	10	250	86.0	37.0	7.61	0.54	0.51	6.0	300	600	2	2.0		353.0	119	114.2	150	26	3.7
HELIX	IK S12	loudspeakerdatabase.com/HELIX/IK_S12	Shallow subwoofer	12	300	86.8	36.0	5.41	0.52	0.48	8.0	300	600	2	3.1		523.0	220	211.4	95	40	7.9
HELIX	IK S8	loudspeakerdatabase.com/HELIX/IK_S8	Shallow subwoofer	8	200	84.1	43.0	4.79	0.57	0.51	6.0	300	600	2	3.6		222.0	82	79.5	160	11	4.7
HELIX	IK W10	loudspeakerdatabase.com/HELIX/IK_W10	Subwoofer	10	250	87.3	36.0	4.50	0.43	0.39	8.0	300	600	2	3.2		333.0	91	86.5	218	34	4.56
HELIX	IK W12	loudspeakerdatabase.com/HELIX/IK_W12	Subwoofer	12	300	88.6	32.0	3.70	0.46	0.41	8.0	300	600	2	3.2		515.0	134	125.5	179	66	7.33
HELIX	IK W6	loudspeakerdatabase.com/HELIX/IK_W6	Subwoofer	6.5	160	85.3	50.0	3.92	0.32	0.30	6.0	150	300	2	4.2		123.0	37	36	261	5.3	3.04
